id,date,value
Nuclear Electric Power Production,2019-06-01,0.718461
Nuclear Electric Power Production,2019-07-01,0.753898
Nuclear Electric Power Production,2019-08-01,0.750891
Nuclear Electric Power Production,2019-09-01,0.689836
Nuclear Electric Power Production,2019-10-01,0.647745
Nuclear Electric Power Production,2019-11-01,0.905137
Nuclear Electric Power Production,2019-12-01,1.162529
Nuclear Electric Power Production,2020-01-01,1.419921
Nuclear Electric Power Production,2020-02-01,1.418374
Nuclear Electric Power Production,2020-03-01,0.668515
Nuclear Electric Power Production,2020-04-01,0.61809
Nuclear Electric Power Production,2020-05-01,0.672074
Nuclear Electric Power Production,2020-06-01,0.702024
Nuclear Electric Power Production,2020-07-01,0.7248
Nuclear Electric Power Production,2020-08-01,0.720588
Nuclear Electric Power Production,2020-09-01,0.686588
Nuclear Electric Power Production,2020-10-01,0.6201
Nuclear Electric Power Production,2020-11-01,0.8816653333333333
Nuclear Electric Power Production,2020-12-01,1.1432306666666667
Nuclear Electric Power Production,2021-01-01,1.4047960000000002
Solar Energy Production,2019-02-01,0.109127
Solar Energy Production,2019-03-01,0.083916
Solar Energy Production,2019-04-01,0.095079
Solar Energy Production,2019-05-01,0.101999
Solar Energy Production,2019-06-01,0.1098
Solar Energy Production,2019-07-01,0.11292
Solar Energy Production,2019-08-01,0.109037
Solar Energy Production,2019-09-01,0.095227
Solar Energy Production,2019-10-01,0.08477
Solar Energy Production,2019-11-01,0.10365766666666666
Solar Energy Production,2019-12-01,0.12254533333333334
Solar Energy Production,2020-01-01,0.141433
Solar Energy Production,2020-02-01,0.146277
Solar Energy Production,2020-03-01,0.091046
Solar Energy Production,2020-04-01,0.108875
Solar Energy Production,2020-05-01,0.128736
Solar Energy Production,2020-06-01,0.12876
Solar Energy Production,2020-07-01,0.138551
Solar Energy Production,2020-08-01,0.125062
Solar Energy Production,2020-09-01,0.10625
Solar Energy Production,2020-10-01,0.096461
Solar Energy Production,2020-11-01,0.123986
Solar Energy Production,2020-12-01,0.151511
Solar Energy Production,2021-01-01,0.179036
Wind Energy Production,2019-02-01,0.43871899999999997
Wind Energy Production,2019-03-01,0.229506
Wind Energy Production,2019-04-01,0.257491
Wind Energy Production,2019-05-01,0.229565
Wind Energy Production,2019-06-01,0.199881
Wind Energy Production,2019-07-01,0.196807
Wind Energy Production,2019-08-01,0.177904
Wind Energy Production,2019-09-01,0.218292
Wind Energy Production,2019-10-01,0.245996
Wind Energy Production,2019-11-01,0.34311499999999995
Wind Energy Production,2019-12-01,0.44023399999999996
Wind Energy Production,2020-01-01,0.537353
Wind Energy Production,2020-02-01,0.536215
Wind Energy Production,2020-03-01,0.257222
Wind Energy Production,2020-04-01,0.261016
Wind Energy Production,2020-05-01,0.248956
Wind Energy Production,2020-06-01,0.265053
Wind Energy Production,2020-07-01,0.200605
Wind Energy Production,2020-08-01,0.202036
Wind Energy Production,2020-09-01,0.203411
Wind Energy Production,2020-10-01,0.252861
Wind Energy Production,2020-11-01,0.36301966666666663
Wind Energy Production,2020-12-01,0.4731783333333333
Wind Energy Production,2021-01-01,0.583337
