.model_id,.model_desc,.type,id,mae,mape,mase,smape,rmse,rsq
19,RECURSIVE LIGHTGBM,Test,Biomass Energy Production,0.0426330059567421,9.805500989259972,0.49399365983399607,9.02906737851286,0.05356034984367658,0.9613105988243342
4,RECURSIVE GLMNET,Test,Nuclear Electric Power Production,0.044281531707078915,5.812374544868011,0.2826131206333171,5.544214393533995,0.054454841595882396,0.9870162521181065
24,KERNLAB,Test,Wind Energy Production,0.04746823638791097,19.508351092553845,0.760552057910264,17.019950833335226,0.05619963771795429,0.9268157312144276
22,RECURSIVE RANDOMFOREST,Test,Wind Energy Production,0.04294227158225165,12.473787288233341,0.6880355266693797,13.2539310083115,0.05766818593738142,0.8898047094201335
22,RECURSIVE RANDOMFOREST,Test,Natural Gas Plant Liquids Production,0.04452629469812166,5.7067184887812985,0.40274308330297265,5.765748208124286,0.05778600983580494,0.9737153332507067
26,LIGHTGBM,Test,Hydroelectric Power Production,0.054315398936304146,23.472067686701553,1.0430434436766731,20.440394335796444,0.05864427157203935,0.9189167862007209
14,RECURSIVE XGBOOST,Test,Wind Energy Production,0.04622126591877142,13.883848290426846,0.7405726774102768,14.736115717010934,0.05884527634214508,0.8878244428578854
20,RECURSIVE RANDOMFOREST,Test,Wind Energy Production,0.044201359820763106,12.764329222968426,0.708209062148241,13.599001978919045,0.05932529398711477,0.8899632743996592
17,RECURSIVE LIGHTGBM,Test,Wind Energy Production,0.04773397204336701,14.376842225852048,0.7648097640100991,14.901352220400913,0.06064264863635339,0.8557907686839852
3,SNAIVE [12],Test,Wind Energy Production,0.04974379166666665,15.305279098842817,0.7970117703799474,16.885175855514575,0.06208383547757402,0.9236557841053555
23,RECURSIVE KERNLAB,Test,Natural Gas Plant Liquids Production,0.04997757133409813,7.833575645419433,0.4520502168786581,7.378944996376789,0.06246999665511282,0.9650636632111551
21,RANDOMFOREST,Test,Hydroelectric Power Production,0.05773090708918186,22.657810460773817,1.1086330086149905,20.030741265421817,0.06443702734337302,0.9472340890130018
6,RECURSIVE GLMNET,Test,Natural Gas Plant Liquids Production,0.05276182779561816,6.905517544548056,0.4772339883921253,7.205854155811009,0.06451745164486837,0.9928719039728916
4,RECURSIVE GLMNET,Test,Natural Gas Plant Liquids Production,0.052706005705255354,6.8672602790114015,0.47672907413996135,7.165234175736813,0.0648746508391258,0.9928663812089619
6,RECURSIVE GLMNET,Test,Biomass Energy Production,0.05842173671625123,13.062230106085543,0.6769395421848056,11.897917179150669,0.06637226040628617,0.9668454328672667
4,RECURSIVE GLMNET,Test,Biomass Energy Production,0.05846339209906012,13.099022037065852,0.6774222080101154,11.922410368167936,0.06671795420191765,0.9656135311768441
19,RECURSIVE LIGHTGBM,Test,Wind Energy Production,0.05134694726381907,15.364383749791699,0.8226980688680697,16.66104611520876,0.06700451708619555,0.8445049536320517
